has_card,jail_turns,cash,rival_houses,pay_bail_legal,card_legal,n_legal,choice,leaves_jail,seed
False,0,50,0,True,False,30,END_TURN,False,20250811
False,0,50,2,True,False,24,END_TURN,False,20250811
False,0,50,4,True,False,24,END_TURN,False,20250811
False,0,50,5,True,False,24,END_TURN,False,20250811
False,0,100,0,True,False,30,END_TURN,False,20250811
False,0,100,2,True,False,24,END_TURN,False,20250811
False,0,100,4,True,False,24,END_TURN,False,20250811
False,0,100,5,True,False,24,END_TURN,False,20250811
False,0,200,0,True,False,30,END_TURN,False,20250811
False,0,200,2,True,False,24,END_TURN,False,20250811
False,0,200,4,True,False,24,END_TURN,False,20250811
False,0,200,5,True,False,24,END_TURN,False,20250811
False,0,260,0,True,False,33,END_TURN,False,20250811
False,0,260,2,True,False,24,END_TURN,False,20250811
False,0,260,4,True,False,24,END_TURN,False,20250811
False,0,260,5,True,False,24,END_TURN,False,20250811
False,0,400,0,True,False,39,END_TURN,False,20250811
False,0,400,2,True,False,24,END_TURN,False,20250811
False,0,400,4,True,False,24,END_TURN,False,20250811
False,0,400,5,True,False,24,END_TURN,False,20250811
False,0,800,0,True,False,39,END_TURN,False,20250811
False,0,800,2,True,False,24,END_TURN,False,20250811
False,0,800,4,True,False,24,END_TURN,False,20250811
False,0,800,5,True,False,24,END_TURN,False,20250811
False,0,1500,0,True,False,39,END_TURN,False,20250811
False,0,1500,2,True,False,24,END_TURN,False,20250811
False,0,1500,4,True,False,24,END_TURN,False,20250811
False,0,1500,5,True,False,24,END_TURN,False,20250811
False,1,50,0,True,False,30,END_TURN,False,20250811
False,1,50,2,True,False,24,END_TURN,False,20250811
False,1,50,4,True,False,24,END_TURN,False,20250811
False,1,50,5,True,False,24,END_TURN,False,20250811
False,1,100,0,True,False,30,END_TURN,False,20250811
False,1,100,2,True,False,24,END_TURN,False,20250811
False,1,100,4,True,False,24,END_TURN,False,20250811
False,1,100,5,True,False,24,END_TURN,False,20250811
False,1,200,0,True,False,30,END_TURN,False,20250811
False,1,200,2,True,False,24,END_TURN,False,20250811
False,1,200,4,True,False,24,END_TURN,False,20250811
False,1,200,5,True,False,24,END_TURN,False,20250811
False,1,260,0,True,False,33,END_TURN,False,20250811
False,1,260,2,True,False,24,END_TURN,False,20250811
False,1,260,4,True,False,24,END_TURN,False,20250811
False,1,260,5,True,False,24,END_TURN,False,20250811
False,1,400,0,True,False,39,END_TURN,False,20250811
False,1,400,2,True,False,24,END_TURN,False,20250811
False,1,400,4,True,False,24,END_TURN,False,20250811
False,1,400,5,True,False,24,END_TURN,False,20250811
False,1,800,0,True,False,39,END_TURN,False,20250811
False,1,800,2,True,False,24,END_TURN,False,20250811
False,1,800,4,True,False,24,END_TURN,False,20250811
False,1,800,5,True,False,24,END_TURN,False,20250811
False,1,1500,0,True,False,39,END_TURN,False,20250811
False,1,1500,2,True,False,24,END_TURN,False,20250811
False,1,1500,4,True,False,24,END_TURN,False,20250811
False,1,1500,5,True,False,24,END_TURN,False,20250811
False,2,50,0,True,False,30,END_TURN,False,20250811
False,2,50,2,True,False,24,END_TURN,False,20250811
False,2,50,4,True,False,24,END_TURN,False,20250811
False,2,50,5,True,False,24,END_TURN,False,20250811
False,2,100,0,True,False,30,END_TURN,False,20250811
False,2,100,2,True,False,24,END_TURN,False,20250811
False,2,100,4,True,False,24,END_TURN,False,20250811
False,2,100,5,True,False,24,END_TURN,False,20250811
False,2,200,0,True,False,30,END_TURN,False,20250811
False,2,200,2,True,False,24,END_TURN,False,20250811
False,2,200,4,True,False,24,END_TURN,False,20250811
False,2,200,5,True,False,24,END_TURN,False,20250811
False,2,260,0,True,False,33,END_TURN,False,20250811
False,2,260,2,True,False,24,END_TURN,False,20250811
False,2,260,4,True,False,24,END_TURN,False,20250811
False,2,260,5,True,False,24,END_TURN,False,20250811
False,2,400,0,True,False,39,END_TURN,False,20250811
False,2,400,2,True,False,24,END_TURN,False,20250811
False,2,400,4,True,False,24,END_TURN,False,20250811
False,2,400,5,True,False,24,END_TURN,False,20250811
False,2,800,0,True,False,39,END_TURN,False,20250811
False,2,800,2,True,False,24,END_TURN,False,20250811
False,2,800,4,True,False,24,END_TURN,False,20250811
False,2,800,5,True,False,24,END_TURN,False,20250811
False,2,1500,0,True,False,39,END_TURN,False,20250811
False,2,1500,2,True,False,24,END_TURN,False,20250811
False,2,1500,4,True,False,24,END_TURN,False,20250811
False,2,1500,5,True,False,24,END_TURN,False,20250811
False,3,50,0,True,False,30,END_TURN,False,20250811
False,3,50,2,True,False,24,END_TURN,False,20250811
False,3,50,4,True,False,24,END_TURN,False,20250811
False,3,50,5,True,False,24,END_TURN,False,20250811
False,3,100,0,True,False,30,END_TURN,False,20250811
False,3,100,2,True,False,24,END_TURN,False,20250811
False,3,100,4,True,False,24,END_TURN,False,20250811
False,3,100,5,True,False,24,END_TURN,False,20250811
False,3,200,0,True,False,30,END_TURN,False,20250811
False,3,200,2,True,False,24,END_TURN,False,20250811
False,3,200,4,True,False,24,END_TURN,False,20250811
False,3,200,5,True,False,24,END_TURN,False,20250811
False,3,260,0,True,False,33,END_TURN,False,20250811
False,3,260,2,True,False,24,END_TURN,False,20250811
False,3,260,4,True,False,24,END_TURN,False,20250811
False,3,260,5,True,False,24,END_TURN,False,20250811
False,3,400,0,True,False,39,END_TURN,False,20250811
False,3,400,2,True,False,24,END_TURN,False,20250811
False,3,400,4,True,False,24,END_TURN,False,20250811
False,3,400,5,True,False,24,END_TURN,False,20250811
False,3,800,0,True,False,39,END_TURN,False,20250811
False,3,800,2,True,False,24,END_TURN,False,20250811
False,3,800,4,True,False,24,END_TURN,False,20250811
False,3,800,5,True,False,24,END_TURN,False,20250811
False,3,1500,0,True,False,39,END_TURN,False,20250811
False,3,1500,2,True,False,24,END_TURN,False,20250811
False,3,1500,4,True,False,24,END_TURN,False,20250811
False,3,1500,5,True,False,24,END_TURN,False,20250811
True,0,50,0,True,True,31,END_TURN,False,20250811
True,0,50,2,True,True,25,END_TURN,False,20250811
