phase,holdings,has_card,jail_turns,cash,rival_houses,n_legal,bail_legal,card_legal,choice,leaves_jail,seed
post_roll,True,False,0,50,0,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,0,50,2,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,0,50,4,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,0,50,5,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,0,100,0,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,0,100,2,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,0,100,4,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,0,100,5,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,0,200,0,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,0,200,2,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,0,200,4,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,0,200,5,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,0,260,0,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,0,260,2,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,0,260,4,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,0,260,5,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,0,400,0,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,0,400,2,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,0,400,4,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,0,400,5,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,0,800,0,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,0,800,2,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,0,800,4,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,0,800,5,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,0,1500,0,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,0,1500,2,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,0,1500,4,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,0,1500,5,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,1,50,0,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,1,50,2,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,1,50,4,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,1,50,5,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,1,100,0,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,1,100,2,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,1,100,4,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,1,100,5,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,1,200,0,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,1,200,2,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,1,200,4,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,1,200,5,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,1,260,0,2,True,False,PAY_BAIL,True,20250811
post_roll,True,False,1,260,2,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,1,260,4,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,1,260,5,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,1,400,0,2,True,False,PAY_BAIL,True,20250811
post_roll,True,False,1,400,2,2,True,False,PAY_BAIL,True,20250811
post_roll,True,False,1,400,4,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,1,400,5,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,1,800,0,2,True,False,PAY_BAIL,True,20250811
post_roll,True,False,1,800,2,2,True,False,PAY_BAIL,True,20250811
post_roll,True,False,1,800,4,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,1,800,5,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,1,1500,0,2,True,False,PAY_BAIL,True,20250811
post_roll,True,False,1,1500,2,2,True,False,PAY_BAIL,True,20250811
post_roll,True,False,1,1500,4,2,True,False,PAY_BAIL,True,20250811
post_roll,True,False,1,1500,5,2,True,False,PAY_BAIL,True,20250811
post_roll,True,False,2,50,0,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,2,50,2,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,2,50,4,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,2,50,5,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,2,100,0,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,2,100,2,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,2,100,4,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,2,100,5,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,2,200,0,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,2,200,2,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,2,200,4,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,2,200,5,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,2,260,0,2,True,False,PAY_BAIL,True,20250811
post_roll,True,False,2,260,2,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,2,260,4,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,2,260,5,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,2,400,0,2,True,False,PAY_BAIL,True,20250811
post_roll,True,False,2,400,2,2,True,False,PAY_BAIL,True,20250811
post_roll,True,False,2,400,4,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,2,400,5,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,2,800,0,2,True,False,PAY_BAIL,True,20250811
post_roll,True,False,2,800,2,2,True,False,PAY_BAIL,True,20250811
post_roll,True,False,2,800,4,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,2,800,5,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,2,1500,0,2,True,False,PAY_BAIL,True,20250811
post_roll,True,False,2,1500,2,2,True,False,PAY_BAIL,True,20250811
post_roll,True,False,2,1500,4,2,True,False,PAY_BAIL,True,20250811
post_roll,True,False,2,1500,5,2,True,False,PAY_BAIL,True,20250811
post_roll,True,False,3,50,0,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,3,50,2,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,3,50,4,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,3,50,5,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,3,100,0,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,3,100,2,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,3,100,4,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,3,100,5,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,3,200,0,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,3,200,2,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,3,200,4,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,3,200,5,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,3,260,0,2,True,False,PAY_BAIL,True,20250811
post_roll,True,False,3,260,2,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,3,260,4,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,3,260,5,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,3,400,0,2,True,False,PAY_BAIL,True,20250811
post_roll,True,False,3,400,2,2,True,False,PAY_BAIL,True,20250811
post_roll,True,False,3,400,4,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,3,400,5,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,3,800,0,2,True,False,PAY_BAIL,True,20250811
post_roll,True,False,3,800,2,2,True,False,PAY_BAIL,True,20250811
post_roll,True,False,3,800,4,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,3,800,5,2,True,False,ROLL_DICE,False,20250811
post_roll,True,False,3,1500,0,2,True,False,PAY_BAIL,True,20250811
post_roll,True,False,3,1500,2,2,True,False,PAY_BAIL,True,20250811
post_roll,True,False,3,1500,4,2,True,False,PAY_BAIL,True,20250811
post_roll,True,False,3,1500,5,2,True,False,PAY_BAIL,True,20250811
post_roll,True,True,0,50,0,3,True,True,USE_GOOJ_CARD,True,20250811
post_roll,True,True,0,50,2,3,True,True,ROLL_DICE,False,20250811
post_roll,True,True,0,50,4,3,True,True,ROLL_DICE,False,20250811
post_roll,True,True,0,50,5,3,True,True,ROLL_DICE,False,20250811
post_roll,True,True,0,100,0,3,True,True,USE_GOOJ_CARD,True,20250811
post_roll,True,True,0,100,2,3,True,True,ROLL_DICE,False,20250811
post_roll,True,True,0,100,4,3,True,True,ROLL_DICE,False,20250811
post_roll,True,True,0,100,5,3,True,True,ROLL_DICE,False,20250811
post_roll,True,True,0,200,0,3,True,True,USE_GOOJ_CARD,True,20250811
post_roll,True,True,0,200,2,3,True,True,ROLL_DICE,False,20250811
post_roll,True,True,0,200,4,3,True,True,ROLL_DICE,False,20250811
post_roll,True,True,0,200,5,3,True,True,ROLL_DICE,False,20250811
post_roll,True,True,0,260,0,3,True,True,ROLL_DICE,False,20250811
post_roll,True,True,0,260,2,3,True,True,ROLL_DICE,False,20250811
post_roll,True,True,0,260,4,3,True,True,ROLL_DICE,False,20250811
post_roll,True,True,0,260,5,3,True,True,ROLL_DICE,False,20250811
post_roll,True,True,0,400,0,3,True,True,ROLL_DICE,False,20250811
post_roll,True,True,0,400,2,3,True,True,ROLL_DICE,False,20250811
post_roll,True,True,0,400,4,3,True,True,ROLL_DICE,False,20250811
post_roll,True,True,0,400,5,3,True,True,ROLL_DICE,False,20250811
post_roll,True,True,0,800,0,3,True,True,ROLL_DICE,False,20250811
post_roll,True,True,0,800,2,3,True,True,ROLL_DICE,False,20250811
post_roll,True,True,0,800,4,3,True,True,ROLL_DICE,False,20250811
post_roll,True,True,0,800,5,3,True,True,ROLL_DICE,False,20250811
post_roll,True,True,0,1500,0,3,True,True,ROLL_DICE,False,20250811
post_roll,True,True,0,1500,2,3,True,True,ROLL_DICE,False,20250811
post_roll,True,True,0,1500,4,3,True,True,ROLL_DICE,False,20250811
post_roll,True,True,0,1500,5,3,True,True,ROLL_DICE,False,20250811
post_roll,True,True,1,50,0,3,True,True,USE_GOOJ_CARD,True,20250811
post_roll,True,True,1,50,2,3,True,True,ROLL_DICE,False,20250811
post_roll,True,True,1,50,4,3,True,True,ROLL_DICE,False,20250811
post_roll,True,True,1,50,5,3,True,True,ROLL_DICE,False,20250811
post_roll,True,True,1,100,0,3,True,True,USE_GOOJ_CARD,True,20250811
post_roll,True,True,1,100,2,3,True,True,ROLL_DICE,False,20250811
post_roll,True,True,1,100,4,3,True,True,ROLL_DICE,False,20250811
post_roll,True,True,1,100,5,3,True,True,ROLL_DICE,False,20250811
post_roll,True,True,1,200,0,3,True,True,USE_GOOJ_CARD,True,20250811
post_roll,True,True,1,200,2,3,True,True,ROLL_DICE,False,20250811
post_roll,True,True,1,200,4,3,True,True,ROLL_DICE,False,20250811
