spares,cash,completer_owner,n_legal,action,family,target_player,offered_sq,requested_sq,cash_level,requests_completer,seed
37,600,2,64,"exch_trade(player=1, offer=37, req=19)",exch_trade,1,37,19,,True,20250811
37,600,3,64,"exch_trade(player=2, offer=37, req=19)",exch_trade,2,37,19,,True,20250811
37,600,bank,46,END_TURN,END_TURN,,,,,False,20250811
37,1200,1,64,"exch_trade(player=0, offer=37, req=19)",exch_trade,0,37,19,,True,20250811
37,1200,2,64,"exch_trade(player=1, offer=37, req=19)",exch_trade,1,37,19,,True,20250811
37,1200,3,64,"exch_trade(player=2, offer=37, req=19)",exch_trade,2,37,19,,True,20250811
37,1200,bank,46,END_TURN,END_TURN,,,,,False,20250811
37,2500,1,64,"exch_trade(player=0, offer=37, req=19)",exch_trade,0,37,19,,True,20250811
37,2500,2,64,"exch_trade(player=1, offer=37, req=19)",exch_trade,1,37,19,,True,20250811
37,2500,3,64,"exch_trade(player=2, offer=37, req=19)",exch_trade,2,37,19,,True,20250811
37,2500,bank,46,END_TURN,END_TURN,,,,,False,20250811
